County Name,GDP(2015),GDP(2016),GDP(2017),GDP(2018),rank_2018,percent_2016,percent_2017,percent_2018,change_rank2018,State
Stephenson,"1,981,416","1,994,216","1,897,427","1,923,456",31,0.6,-4.9,1.4,57,Illinois
Tazewell,"10,118,112","9,108,186","8,177,447","8,206,096",15,-10,-10.2,0.4,73,Illinois
Union,"456,061","480,356","455,045","448,465",82,5.3,-5.3,-1.4,88,Illinois
Vermilion,"3,180,311","3,214,461","3,196,706","3,285,723",20,1.1,-0.6,2.8,43,Illinois
Wabash,"350,236","350,747","373,729","376,181",87,0.1,6.6,0.7,68,Illinois
Warren,"639,761","689,555","718,109","750,948",62,7.8,4.1,4.6,28,Illinois
Washington,"742,961","833,583","898,282","1,013,500",52,12.2,7.8,12.8,5,Illinois
Wayne,"663,586","649,001","604,981","648,342",67,-2.2,-6.8,7.2,15,Illinois
White,"607,841","594,068","597,729","573,158",74,-2.3,0.6,-4.1,95,Illinois
Whiteside,"2,130,629","1,997,881","2,077,581","2,090,471",29,-6.2,4,0.6,69,Illinois
Will,"26,858,890","27,399,059","27,685,330","28,209,374",4,2,1,1.9,52,Illinois
Williamson,"2,637,918","2,662,912","2,700,573","2,796,011",26,0.9,1.4,3.5,39,Illinois
Winnebago,"12,642,576","12,582,907","12,757,249","13,080,810",6,-0.5,1.4,2.5,47,Illinois
Woodford,"1,194,641","1,217,365","1,156,829","1,155,062",47,1.9,-5,-0.2,79,Illinois
Adams,"1,239,264","1,281,672","1,351,353","1,416,976",41,3.4,5.4,4.9,16,Indiana
Allen,"18,874,695","18,938,297","19,105,381","19,716,158",3,0.3,0.9,3.2,36,Indiana
Bartholomew,"5,804,117","5,827,358","6,063,299","6,363,058",10,0.4,4,4.9,13,Indiana
Benton,"363,736","427,764","406,379","421,798",83,17.6,-5,3.8,30,Indiana
Blackford,"267,607","299,424","297,807","292,995",86,11.9,-0.5,-1.6,79,Indiana
Boone,"3,879,642","3,894,398","4,344,034","4,528,949",17,0.4,11.5,4.3,20,Indiana
Brown,"243,485","242,380","236,847","241,987",88,-0.5,-2.3,2.2,46,Indiana
Carroll,"567,678","618,213","618,854","661,601",68,8.9,0.1,6.9,11,Indiana
Cass,"1,164,403","1,214,464","1,220,270","1,258,237",47,4.3,0.5,3.1,38,Indiana
Clark,"4,326,567","4,343,758","4,355,017","4,380,616",18,0.4,0.3,0.6,66,Indiana
Clay,"597,363","599,020","618,062","640,668",70,0.3,3.2,3.7,32,Indiana
Clinton,"1,035,616","1,005,079","1,029,168","1,100,849",54,-2.9,2.4,7,9,Indiana
Crawford,"181,310","180,768","188,878","188,897",90,-0.3,4.5,0,71,Indiana
Daviess,"1,104,312","1,055,918","1,116,774","1,159,916",51,-4.4,5.8,3.9,28,Indiana
Dearborn,"1,553,011","1,552,498","1,547,368","1,510,907",38,0,-0.3,-2.4,80,Indiana
Decatur,"1,247,248","1,292,516","1,374,281","1,431,726",40,3.6,6.3,4.2,22,Indiana
DeKalb,"2,333,251","2,413,806","2,418,339","2,466,948",28,3.5,0.2,2,48,Indiana
Delaware,"3,762,814","3,754,936","3,827,953","3,872,532",21,-0.2,1.9,1.2,60,Indiana
Dubois,"2,598,251","2,506,210","2,573,161","2,615,764",25,-3.5,2.7,1.7,54,Indiana
Elkhart,"10,329,039","10,767,472","11,979,393","12,038,611",6,4.2,11.3,0.5,67,Indiana
Fayette,"537,627","549,131","556,121","583,073",76,2.1,1.3,4.8,17,Indiana
Floyd,"2,425,417","2,534,222","2,530,820","2,600,472",26,4.5,-0.1,2.8,41,Indiana
Fountain,"498,302","517,273","500,903","536,769",78,3.8,-3.2,7.2,7,Indiana
Franklin,"465,677","470,792","486,509","495,074",80,1.1,3.3,1.8,51,Indiana
Fulton,"598,362","606,147","642,335","626,150",73,1.3,6,-2.5,81,Indiana
Gibson,"2,677,512","2,838,950","3,049,925","2,902,220",23,6,7.4,-4.8,89,Indiana
Grant,"3,999,219","4,490,689","3,829,678","4,276,362",19,12.3,-14.7,11.7,3,Indiana
Greene,"579,959","566,956","568,536","623,538",74,-2.2,0.3,9.7,4,Indiana
Hamilton,"15,087,232","15,547,416","15,934,100","16,176,217",4,3.1,2.5,1.5,56,Indiana
Hancock,"1,929,478","2,008,215","2,105,964","2,180,514",29,4.1,4.9,3.5,34,Indiana
Harrison,"859,861","862,876","882,551","893,313",60,0.4,2.3,1.2,59,Indiana
Hendricks,"5,190,305","5,514,080","5,768,101","6,030,852",12,6.2,4.6,4.6,18,Indiana
Henry,"1,017,298","1,023,042","1,061,134","1,134,531",52,0.6,3.7,6.9,10,Indiana
Howard,"5,006,828","5,023,786","5,268,619","5,253,267",13,0.3,4.9,-0.3,75,Indiana
Huntington,"1,262,001","1,248,905","1,279,718","1,296,402",46,-1,2.5,1.3,57,Indiana
Jackson,"2,270,764","2,339,143","2,498,300","2,495,376",27,3,6.8,-0.1,73,Indiana
Jasper,"1,320,619","1,338,731","1,381,534","1,311,535",45,1.4,3.2,-5.1,90,Indiana
Jay,"932,733","848,857","885,210","958,240",58,-9,4.3,8.3,5,Indiana
Jefferson,"1,321,585","1,337,154","1,386,775","1,373,639",42,1.2,3.7,-0.9,78,Indiana
Jennings,"640,712","641,307","646,249","662,272",67,0.1,0.8,2.5,43,Indiana
Johnson,"4,062,407","4,133,856","4,324,289","4,534,695",16,1.8,4.6,4.9,15,Indiana
Knox,"1,784,299","1,857,842","1,909,283","1,860,452",32,4.1,2.8,-2.6,82,Indiana
Kosciusko,"4,691,134","4,263,542","4,384,419","4,549,226",14,-9.1,2.8,3.8,31,Indiana
Lagrange,"1,366,762","1,317,524","1,464,687","1,490,183",39,-3.6,11.2,1.7,52,Indiana
Lake,"21,955,845","22,285,179","22,372,478","22,602,046",2,1.5,0.4,1,64,Indiana
LaPorte,"3,828,465","3,809,847","3,848,432","3,940,402",20,-0.5,1,2.4,44,Indiana
Lawrence,"1,287,039","1,322,583","1,311,575","1,363,235",43,2.8,-0.8,3.9,26,Indiana
Madison,"3,309,585","3,321,008","3,356,841","3,494,610",22,0.3,1.1,4.1,24,Indiana
Marion,"79,228,275","80,755,236","81,713,747","82,996,653",1,1.9,1.2,1.6,55,Indiana
Marshall,"1,571,668","1,593,377","1,590,747","1,587,315",34,1.4,-0.2,-0.2,74,Indiana
Martin,"924,109","933,239","987,031","1,027,957",56,1,5.8,4.1,23,Indiana
Miami,"775,569","822,217","823,086","824,484",62,6,0.1,0.2,69,Indiana
Monroe,"5,653,521","5,751,130","5,962,418","6,080,616",11,1.7,3.7,2,49,Indiana
Montgomery,"1,586,663","1,622,504","1,584,277","1,586,433",35,2.3,-2.4,0.1,70,Indiana
Morgan,"1,355,919","1,435,233","1,447,248","1,550,375",36,5.8,0.8,7.1,8,Indiana
Newton,"373,196","352,674","336,006","349,433",84,-5.5,-4.7,4,25,Indiana
Noble,"1,648,146","1,639,737","1,665,449","1,712,402",33,-0.5,1.6,2.8,40,Indiana
Ohio,"107,530","103,553","108,625","103,660",92,-3.7,4.9,-4.6,88,Indiana
Orange,"561,438","570,377","600,337","604,918",75,1.6,5.3,0.8,65,Indiana
Owen,"432,365","449,377","458,010","465,645",81,3.9,1.9,1.7,53,Indiana
Parke,"275,653","322,998","320,926","310,227",85,17.2,-0.6,-3.3,85,Indiana
Perry,"693,092","708,389","696,896","696,505",65,2.2,-1.6,-0.1,72,Indiana
Pike,"758,576","774,454","814,763","690,529",66,2.1,5.2,-15.2,92,Indiana
Porter,"6,134,776","6,296,503","6,292,093","6,370,405",9,2.6,-0.1,1.2,58,Indiana
Posey,"1,480,476","1,485,397","1,581,104","1,524,491",37,0.3,6.4,-3.6,86,Indiana
Pulaski,"495,974","517,389","541,925","520,074",79,4.3,4.7,-4,87,Indiana
Putnam,"934,369","994,002","1,015,373","1,026,472",57,6.4,2.1,1.1,61,Indiana
Randolph,"758,668","712,044","714,968","731,186",64,-6.1,0.4,2.3,45,Indiana
Ripley,"1,116,090","1,186,941","1,267,581","1,231,942",48,6.3,6.8,-2.8,83,Indiana
Rush,"494,096","541,396","537,833","554,643",77,9.6,-0.7,3.1,37,Indiana
St. Joseph,"12,049,473","11,981,120","12,094,783","12,554,863",5,-0.6,0.9,3.8,29,Indiana
Scott,"566,398","588,547","607,035","630,586",72,3.9,3.1,3.9,27,Indiana
Shelby,"1,912,354","2,032,618","2,010,902","2,032,091",30,6.3,-1.1,1.1,63,Indiana
Spencer,"1,174,280","1,173,906","1,183,845","1,114,528",53,0,0.8,-5.9,91,Indiana
Starke,"404,770","441,163","459,298","455,392",82,9,4.1,-0.9,77,Indiana
Steuben,"1,240,647","1,257,372","1,311,702","1,355,799",44,1.3,4.3,3.4,35,Indiana
Sullivan,"955,877","972,644","911,183","882,530",61,1.8,-6.3,-3.1,84,Indiana
Switzerland,"206,733","207,868","207,471","207,854",89,0.5,-0.2,0.2,68,Indiana
Tippecanoe,"7,693,297","7,799,233","7,962,074","8,355,142",8,1.4,2.1,4.9,14,Indiana
Tipton,"492,970","522,325","562,155","646,608",69,6,7.6,15,1,Indiana
Union,"127,058","124,488","126,586","132,120",91,-2,1.7,4.4,19,Indiana
Vanderburgh,"10,204,677","10,154,562","10,363,785","10,474,357",7,-0.5,2.1,1.1,62,Indiana
Vermillion,"683,584","760,163","740,246","755,958",63,11.2,-2.6,2.1,47,Indiana
Vigo,"4,645,936","4,578,314","4,568,509","4,542,724",15,-1.5,-0.2,-0.6,76,Indiana
Wabash,"1,145,348","1,155,647","1,139,965","1,180,811",50,0.9,-1.4,3.6,33,Indiana
Warren,"223,006","267,127","251,395","288,311",87,19.8,-5.9,14.7,2,Indiana
Warrick,"2,011,070","1,970,058","1,963,308","2,015,080",31,-2,-0.3,2.6,42,Indiana
Washington,"615,054","567,460","590,052","633,102",71,-7.7,4,7.3,6,Indiana
Wayne,"2,514,120","2,547,446","2,581,702","2,659,403",24,1.3,1.3,3,39,Indiana
Wells,"980,371","968,933","1,000,237","1,063,282",55,-1.2,3.2,6.3,12,Indiana
White,"880,634","921,093","899,339","937,398",59,4.6,-2.4,4.2,21,Indiana
Whitley,"1,104,037","1,169,413","1,188,622","1,211,021",49,5.9,1.6,1.9,50,Indiana
Adair,"328,347","315,310","319,374","324,537",89,-4,1.3,1.6,55,Iowa
Adams,"283,787","302,511","280,320","296,386",91,6.6,-7.3,5.7,26,Iowa
Allamakee,"571,989","593,313","544,488","541,503",65,3.7,-8.2,-0.5,77,Iowa
Appanoose,"357,330","359,058","358,792","348,067",87,0.5,-0.1,-3,89,Iowa
Audubon,"245,856","236,395","249,683","249,566",92,-3.8,5.6,0,74,Iowa
Benton,"656,477","660,277","680,997","740,852",47,0.6,3.1,8.8,10,Iowa
Black Hawk,"7,466,513","6,835,480","6,895,327","7,115,887",5,-8.5,0.9,3.2,43,Iowa
Boone,"918,138","910,775","885,440","967,923",35,-0.8,-2.8,9.3,8,Iowa
Bremer,"1,099,724","1,092,552","1,053,747","1,039,846",31,-0.7,-3.6,-1.3,83,Iowa
Buchanan,"611,563","591,005","611,841","601,478",58,-3.4,3.5,-1.7,84,Iowa
Buena Vista,"1,396,750","1,384,319","1,402,443","1,462,894",22,-0.9,1.3,4.3,33,Iowa
Butler,"651,233","764,111","792,589","739,157",48,17.3,3.7,-6.7,95,Iowa
Calhoun,"407,984","460,719","424,002","490,304",72,12.9,-8,15.6,2,Iowa
Carroll,"1,247,115","1,296,807","1,315,642","1,325,535",23,4,1.5,0.8,66,Iowa
Cass,"666,664","621,439","633,006","640,979",56,-6.8,1.9,1.3,63,Iowa
Cedar,"524,823","505,210","503,107","544,340",64,-3.7,-0.4,8.2,14,Iowa
Cerro Gordo,"2,392,015","2,383,966","2,294,118","2,360,792",12,-0.3,-3.8,2.9,46,Iowa
Cherokee,"873,033","900,002","851,770","876,700",38,3.1,-5.4,2.9,45,Iowa
Chickasaw,"751,812","773,455","664,332","690,161",51,2.9,-14.1,3.9,36,Iowa
Clarke,"375,228","372,653","403,686","421,066",79,-0.7,8.3,4.3,34,Iowa
Clay,"1,003,498","882,288","922,509","964,775",36,-12.1,4.6,4.6,29,Iowa
Clayton,"790,524","811,869","840,723","832,243",42,2.7,3.6,-1,80,Iowa
Clinton,"2,159,484","2,089,255","2,095,720","2,106,560",15,-3.3,0.3,0.5,68,Iowa
Crawford,"719,279","694,175","709,390","736,402",49,-3.5,2.2,3.8,38,Iowa
Dallas,"4,561,560","4,746,397","4,679,801","4,763,330",9,4.1,-1.4,1.8,54,Iowa
Davis,"204,049","223,490","221,016","221,183",98,9.5,-1.1,0.1,72,Iowa
Decatur,"190,197","188,600","216,742","224,155",96,-0.8,14.9,3.4,40,Iowa
Delaware,"835,932","781,261","820,910","845,252",41,-6.5,5.1,3,44,Iowa
Des Moines,"2,172,710","2,196,937","2,166,900","2,198,139",14,1.1,-1.4,1.4,61,Iowa
Dickinson,"881,676","852,238","874,636","850,226",40,-3.3,2.6,-2.8,88,Iowa
Dubuque,"5,185,679","5,073,477","5,120,001","5,194,130",6,-2.2,0.9,1.4,60,Iowa
Emmet,"459,816","369,340","417,605","363,045",85,-19.7,13.1,-13.1,99,Iowa
Fayette,"687,063","699,973","731,090","698,596",50,1.9,4.4,-4.4,92,Iowa
Floyd,"721,511","706,885","657,302","644,007",55,-2,-7,-2,86,Iowa
Franklin,"685,354","677,570","702,524","679,214",52,-1.1,3.7,-3.3,90,Iowa
Fremont,"256,471","238,303","252,905","241,298",93,-7.1,6.1,-4.6,93,Iowa
Greene,"411,558","418,401","402,151","417,537",81,1.7,-3.9,3.8,37,Iowa
Grundy,"603,480","571,645","700,598","638,762",57,-5.3,22.6,-8.8,96,Iowa
Guthrie,"465,170","424,237","427,466","457,313",73,-8.8,0.8,7,19,Iowa
Hamilton,"765,608","655,830","680,309","807,344",43,-14.3,3.7,18.7,1,Iowa
Hancock,"798,787","664,429","752,094","755,413",46,-16.8,13.2,0.4,69,Iowa
Hardin,"907,548","940,470","1,006,092","1,002,720",33,3.6,7,-0.3,76,Iowa
Harrison,"479,292","516,804","446,383","451,315",74,7.8,-13.6,1.1,65,Iowa
Henry,"750,872","744,410","751,270","798,306",45,-0.9,0.9,6.3,21,Iowa
Howard,"454,760","417,916","391,889","417,568",80,-8.1,-6.2,6.6,20,Iowa
Humboldt,"475,114","470,312","443,321","443,824",75,-1,-5.7,0.1,71,Iowa
Ida,"385,707","378,111","428,877","429,048",77,-2,13.4,0,73,Iowa
Iowa,"775,203","738,351","771,035","802,948",44,-4.8,4.4,4.1,35,Iowa
Jackson,"600,793","605,127","559,811","593,898",59,0.7,-7.5,6.1,24,Iowa
Jasper,"988,209","982,323","976,723","1,058,798",29,-0.6,-0.6,8.4,12,Iowa
Jefferson,"598,408","612,099","606,822","677,208",53,2.3,-0.9,11.6,6,Iowa
Johnson,"8,024,479","8,049,250","8,281,109","8,385,942",3,0.3,2.9,1.3,62,Iowa
Jones,"568,792","541,093","548,837","556,983",61,-4.9,1.4,1.5,57,Iowa
Keokuk,"330,752","363,479","297,889","336,881",88,9.9,-18,13.1,5,Iowa
Kossuth,"1,083,142","1,037,829","1,078,023","1,066,212",28,-4.2,3.9,-1.1,81,Iowa
Lee,"1,751,118","1,641,194","1,551,096","1,580,685",19,-6.3,-5.5,1.9,52,Iowa
Linn,"15,568,897","15,733,507","15,560,368","15,957,005",2,1.1,-1.1,2.5,48,Iowa
Louisa,"484,209","476,180","486,571","551,334",62,-1.7,2.2,13.3,4,Iowa
Lucas,"286,828","291,041","289,019","309,877",90,1.5,-0.7,7.2,18,Iowa
Lyon,"1,017,412","1,213,612","1,260,985","1,126,386",26,19.3,3.9,-10.7,98,Iowa
Madison,"374,195","365,884","370,091","393,017",82,-2.2,1.1,6.2,23,Iowa
Mahaska,"770,666","778,726","784,005","872,648",39,1,0.7,11.3,7,Iowa
Marion,"1,486,371","1,463,150","1,481,091","1,546,001",21,-1.6,1.2,4.4,31,Iowa
Marshall,"1,594,637","1,583,533","1,571,406","1,691,952",17,-0.7,-0.8,7.7,16,Iowa
Mills,"455,279","465,649","496,136","508,666",70,2.3,6.5,2.5,50,Iowa
Mitchell,"642,065","623,222","604,233","652,501",54,-2.9,-3,8,15,Iowa
Monona,"343,507","399,113","404,898","366,224",84,16.2,1.4,-9.6,97,Iowa
Monroe,"393,897","382,638","388,700","424,160",78,-2.9,1.6,9.1,9,Iowa
Montgomery,"398,223","373,573","388,312","385,816",83,-6.2,3.9,-0.6,78,Iowa
Muscatine,"2,306,755","2,284,845","2,265,143","2,298,640",13,-0.9,-0.9,1.5,58,Iowa
O'Brien,"936,080","1,148,411","1,164,151","1,116,366",27,22.7,1.4,-4.1,91,Iowa
Osceola,"471,602","456,467","507,733","495,070",71,-3.2,11.2,-2.5,87,Iowa
Page,"506,121","506,133","501,767","531,794",68,0,-0.9,6,25,Iowa
Palo Alto,"580,810","487,974","555,354","528,894",69,-16,13.8,-4.8,94,Iowa
Plymouth,"1,415,752","1,613,598","1,567,910","1,556,493",20,14,-2.8,-0.7,79,Iowa
Pocahontas,"654,342","679,430","501,363","538,662",66,3.8,-26.2,7.4,17,Iowa
Polk,"35,696,734","36,688,552","36,211,368","36,757,721",1,2.8,-1.3,1.5,56,Iowa
Pottawattamie,"4,553,463","4,611,782","4,445,608","4,637,631",10,1.3,-3.6,4.3,32,Iowa
Poweshiek,"1,107,148","1,088,574","1,093,660","1,129,491",25,-1.7,0.5,3.3,42,Iowa
Ringgold,"167,354","157,843","189,495","185,894",99,-5.7,20.1,-1.9,85,Iowa
Sac,"564,822","539,118","518,523","589,102",60,-4.6,-3.8,13.6,3,Iowa
Scott,"8,160,232","8,052,003","8,012,364","8,208,858",4,-1.3,-0.5,2.5,51,Iowa
Shelby,"1,047,408","1,021,387","1,019,531","1,023,116",32,-2.5,-0.2,0.4,70,Iowa
Sioux,"2,486,700","2,434,370","2,684,788","2,676,524",11,-2.1,10.3,-0.3,75,Iowa
Story,"4,716,210","4,627,378","4,744,881","4,814,640",7,-1.9,2.5,1.5,59,Iowa
Tama,"486,404","513,704","506,975","548,997",63,5.6,-1.3,8.3,13,Iowa
Taylor,"257,710","179,462","232,534","234,141",95,-30.4,29.6,0.7,67,Iowa
Union,"562,082","541,249","521,452","535,762",67,-3.7,-3.7,2.7,47,Iowa
Van Buren,"222,327","207,442","206,315","223,794",97,-6.7,-0.5,8.5,11,Iowa
Wapello,"1,648,982","1,572,369","1,597,865","1,628,245",18,-4.6,1.6,1.9,53,Iowa
Warren,"975,289","995,315","1,017,135","1,042,882",30,2.1,2.2,2.5,49,Iowa
Washington,"1,024,688","934,993","1,084,028","1,151,368",24,-8.8,15.9,6.2,22,Iowa
Wayne,"214,416","219,054","224,788","235,082",94,2.2,2.6,4.6,30,Iowa
Webster,"2,194,846","2,137,710","2,074,199","2,097,183",16,-2.6,-3,1.1,64,Iowa
Winnebago,"473,931","416,167","436,815","431,395",76,-12.2,5,-1.2,82,Iowa
Winneshiek,"1,059,596","1,063,400","953,582","988,435",34,0.4,-10.3,3.7,39,Iowa
Woodbury,"5,044,728","4,941,052","4,618,402","4,770,518",8,-2.1,-6.5,3.3,41,Iowa
Worth,"461,492","372,315","338,045","356,108",86,-19.3,-9.2,5.3,28,Iowa
Wright,"980,932","889,787","909,568","958,690",37,-9.3,2.2,5.4,27,Iowa
Allen,"472,585","445,634","466,896","474,012",40,-5.7,4.8,1.5,58,Kansas
Anderson,"241,649","283,448","218,806","231,865",67,17.3,-22.8,6,24,Kansas
Atchison,"541,924","535,508","567,131","578,478",34,-1.2,5.9,2,51,Kansas
Barber,"241,482","222,525","235,137","221,700",71,-7.9,5.7,-5.7,98,Kansas
Barton,"1,225,174","1,187,354","1,172,947","1,205,928",22,-3.1,-1.2,2.8,42,Kansas
Bourbon,"539,898","539,996","553,521","558,719",35,0,2.5,0.9,65,Kansas
Brown,"435,913","420,295","416,927","433,017",42,-3.6,-0.8,3.9,36,Kansas
Butler,"1,746,350","2,196,235","2,214,884","2,283,399",11,25.8,0.8,3.1,40,Kansas
Chase,"111,252","117,690","113,197","113,451",98,5.8,-3.8,0.2,75,Kansas
Chautauqua,"83,682","78,300","74,342","75,066",105,-6.4,-5.1,1,64,Kansas
Cherokee,"519,045","592,225","632,446","688,966",30,14.1,6.8,8.9,20,Kansas
Cheyenne,"124,325","120,229","113,108","138,297",91,-3.3,-5.9,22.3,4,Kansas
Clark,"138,368","167,363","230,583","249,258",66,21,37.8,8.1,21,Kansas
Clay,"295,130","284,338","280,300","267,313",64,-3.7,-1.4,-4.6,95,Kansas
Cloud,"330,892","346,436","343,603","317,960",53,4.7,-0.8,-7.5,101,Kansas
Coffey,"783,820","860,876","854,751","819,586",24,9.8,-0.7,-4.1,93,Kansas
Comanche,"91,453","74,095","73,014","76,885",104,-19,-1.5,5.3,31,Kansas
Cowley,"1,259,423","1,236,397","1,220,918","1,223,190",21,-1.8,-1.3,0.2,76,Kansas
Crawford,"1,312,113","1,303,739","1,357,533","1,373,034",17,-0.6,4.1,1.1,62,Kansas
Decatur,"173,631","177,876","150,564","158,897",84,2.4,-15.4,5.5,28,Kansas
Dickinson,"604,215","609,112","611,170","593,932",32,0.8,0.3,-2.8,92,Kansas
Doniphan,"206,694","198,858","194,062","206,919",75,-3.8,-2.4,6.6,23,Kansas
Douglas,"4,205,852","4,338,539","4,404,306","4,458,646",5,3.2,1.5,1.2,60,Kansas
Edwards,"184,405","176,372","136,710","161,848",81,-4.4,-22.5,18.4,8,Kansas
Elk,"103,502","98,425","87,405","87,260",102,-4.9,-11.2,-0.2,79,Kansas
Ellis,"1,499,857","1,500,460","1,490,048","1,520,452",16,0,-0.7,2,50,Kansas
Ellsworth,"229,710","226,141","227,348","226,719",68,-1.6,0.5,-0.3,81,Kansas
Finney,"1,893,785","2,018,161","1,926,680","1,995,782",13,6.6,-4.5,3.6,38,Kansas
Ford,"1,479,374","1,545,775","1,610,187","1,676,999",15,4.5,4.2,4.1,35,Kansas
Franklin,"803,174","805,020","816,273","809,403",25,0.2,1.4,-0.8,85,Kansas
Geary,"2,772,747","2,624,842","2,583,215","2,540,165",8,-5.3,-1.6,-1.7,89,Kansas
Gove,"199,354","189,084","178,678","178,222",79,-5.2,-5.5,-0.3,80,Kansas
Graham,"134,350","116,364","122,705","126,429",96,-13.4,5.4,3,41,Kansas
Grant,"653,812","815,669","693,589","585,765",33,24.8,-15,-15.5,105,Kansas
Gray,"861,114","926,068","827,623","774,123",27,7.5,-10.6,-6.5,99,Kansas
Greeley,"61,646","71,710","76,161","103,802",100,16.3,6.2,36.3,1,Kansas
Greenwood,"168,538","164,968","159,929","161,367",82,-2.1,-3.1,0.9,66,Kansas
Hamilton,"295,990","336,120","329,800","393,421",46,13.6,-1.9,19.3,7,Kansas
Harper,"329,169","321,105","300,229","302,643",57,-2.4,-6.5,0.8,69,Kansas
Harvey,"1,119,441","1,125,067","1,086,867","1,116,247",23,0.5,-3.4,2.7,43,Kansas
Haskell,"410,248","511,287","396,817","348,946",47,24.6,-22.4,-12.1,103,Kansas
Hodgeman,"90,648","89,195","76,241","93,517",101,-1.6,-14.5,22.7,3,Kansas
Jackson,"308,980","303,567","312,302","316,146",55,-1.8,2.9,1.2,61,Kansas
Jefferson,"331,104","332,355","335,171","335,533",52,0.4,0.8,0.1,77,Kansas
Jewell,"135,064","121,413","99,184","110,189",99,-10.1,-18.3,11.1,13,Kansas
Johnson,"39,987,062","41,279,166","42,523,370","43,264,041",1,3.2,3,1.7,56,Kansas
Kearny,"318,782","319,613","310,724","317,292",54,0.3,-2.8,2.1,49,Kansas
Kingman,"339,872","343,470","287,965","293,554",58,1.1,-16.2,1.9,53,Kansas
Kiowa,"143,178","143,582","135,292","147,829",86,0.3,-5.8,9.3,19,Kansas
Labette,"753,141","751,234","758,771","777,207",26,-0.3,1,2.4,47,Kansas
Lane,"263,064","258,786","276,917","302,899",56,-1.6,7,9.4,17,Kansas
Leavenworth,"2,547,407","2,529,313","2,523,593","2,560,260",7,-0.7,-0.2,1.5,59,Kansas
Lincoln,"119,761","120,720","118,377","115,211",97,0.8,-1.9,-2.7,91,Kansas
Linn,"482,331","558,987","387,178","416,339",43,15.9,-30.7,7.5,22,Kansas
Logan,"137,353","133,641","131,518","143,712",87,-2.7,-1.6,9.3,18,Kansas
Lyon,"1,190,211","1,184,861","1,191,689","1,244,636",20,-0.4,0.6,4.4,33,Kansas
McPherson,"1,538,048","1,814,155","1,898,548","2,006,354",12,18,4.7,5.7,25,Kansas
Marion,"364,417","385,259","338,903","342,297",49,5.7,-12,1,63,Kansas
Marshall,"528,246","526,565","533,796","527,146",38,-0.3,1.4,-1.2,86,Kansas
Meade,"284,711","311,650","324,555","338,981",51,9.5,4.1,4.4,32,Kansas
Miami,"693,229","726,565","737,315","756,381",28,4.8,1.5,2.6,44,Kansas
Mitchell,"390,805","408,844","413,096","394,383",45,4.6,1,-4.5,94,Kansas
Montgomery,"1,305,381","1,716,351","1,836,641","1,939,453",14,31.5,7,5.6,26,Kansas
Morris,"210,025","231,872","213,854","183,131",78,10.4,-7.8,-14.4,104,Kansas
Morton,"161,977","146,158","171,916","159,918",83,-9.8,17.6,-7,100,Kansas
Nemaha,"503,734","542,556","545,453","538,363",36,7.7,0.5,-1.3,87,Kansas
Neosho,"489,913","488,811","497,669","510,011",39,-0.2,1.8,2.5,46,Kansas
Ness,"165,728","186,002","204,609","226,040",69,12.2,10,10.5,15,Kansas
Norton,"213,428","227,580","219,409","220,442",72,6.6,-3.6,0.5,74,Kansas
Osage,"249,991","262,963","247,203","251,200",65,5.2,-6,1.6,57,Kansas
Osborne,"164,069","170,706","182,964","184,274",77,4,7.2,0.7,71,Kansas
Ottawa,"131,820","143,564","123,944","128,707",95,8.9,-13.7,3.8,37,Kansas
Pawnee,"323,883","396,274","286,978","272,632",62,22.4,-27.6,-5,96,Kansas
Phillips,"266,919","303,256","294,204","288,179",60,13.6,-3,-2,90,Kansas
Pottawatomie,"1,346,577","1,286,248","1,272,609","1,255,957",19,-4.5,-1.1,-1.3,88,Kansas
Pratt,"467,479","458,835","520,955","530,550",37,-1.8,13.5,1.8,54,Kansas
Rawlins,"133,297","125,294","128,673","142,052",89,-6,2.7,10.4,16,Kansas
Reno,"2,222,308","2,196,325","2,288,360","2,307,946",10,-1.2,4.2,0.9,68,Kansas
Republic,"234,831","257,598","218,219","217,272",74,9.7,-15.3,-0.4,84,Kansas
Rice,"499,523","431,980","400,403","443,582",41,-13.5,-7.3,10.8,14,Kansas
Riley,"2,498,660","2,516,075","2,453,994","2,469,027",9,0.7,-2.5,0.6,72,Kansas
Rooks,"205,631","211,081","215,616","219,817",73,2.7,2.1,1.9,52,Kansas
Rush,"139,119","124,959","125,497","143,452",88,-10.2,0.4,14.3,10,Kansas
Russell,"284,046","336,766","338,571","340,325",50,18.6,0.5,0.5,73,Kansas
Saline,"2,776,722","2,857,746","2,933,705","2,956,168",6,2.9,2.7,0.8,70,Kansas
Scott,"532,689","677,112","687,656","613,415",31,27.1,1.6,-10.8,102,Kansas
Sedgwick,"25,965,017","27,164,874","27,734,703","28,724,113",2,4.6,2.1,3.6,39,Kansas
Seward,"1,335,459","1,245,933","1,232,004","1,298,434",18,-6.7,-1.1,5.4,30,Kansas
Shawnee,"8,721,802","8,854,716","8,827,484","9,032,118",4,1.5,-0.3,2.3,48,Kansas
Sheridan,"130,929","137,685","126,621","131,903",93,5.2,-8,4.2,34,Kansas
Sherman,"227,698","222,832","226,687","273,047",61,-2.1,1.7,20.5,5,Kansas
Smith,"182,233","175,248","161,807","170,789",80,-3.8,-7.7,5.6,27,Kansas
Stafford,"129,859","144,988","123,664","141,068",90,11.7,-14.7,14.1,11,Kansas
